千代田,7361
中央,(7123)
港,21760
新宿,(21296)
文京,33591
台東,(32676)
墨田,48390
江東,(44400)
品川,23008
目黒,(21907)
大田,22560
世田谷,102239
渋谷,(98505)
中野,31240
杉並,(30414)
豊島,39888
北,(38703)
荒川,57727
板橋,(56275)
練馬,34070
足立,(32370)
葛飾,38173
江戸川,78383
八王子,(75965)
立川,45957
武蔵野,(44324)
三鷹,14882
青梅,(14084)
府中,13090
昭島,(12632)
調布,16414
町田,(15867)
小金井,8099
小平,14804
日野,(14354)
東村山,14869
国分寺,(14505)
国立,10432
福生,(10076)
狛江,10623
東大和,(10117)
清瀬,5560
東久留米,(5307)
武蔵村山,4674
多摩,9982
稲城,(9755)
羽村,7608
あきる野,(7462)
西東京,4046
瑞穂,(3954)
日の出,5479
檜原,(5364)
奥多摩,17884
大島,(17307)
利島,2284
新島,37
神津島,(35)
三宅,92
御蔵島,(89)
八丈,19
青ヶ島,(18)
小笠原,13
都外,(13)
調査中,159
