千代田,2294
中央,(1923)
港,6824
新宿,(5924)
文京,11729
台東,(10454)
墨田,21871
江東,(19133)
品川,6602
目黒,(5485)
大田,7969
世田谷,32896
渋谷,(29055)
中野,11868
杉並,(10222)
豊島,14563
北,(12489)
荒川,18595
板橋,(16073)
練馬,12489
足立,(11103)
葛飾,10905
江戸川,21552
八王子,(18660)
立川,11766
武蔵野,(10092)
三鷹,3887
青梅,(3350)
府中,3822
昭島,(3278)
調布,4379
町田,(3855)
小金井,1946
小平,3660
日野,(3032)
東村山,3398
国分寺,(2926)
国立,2529
福生,(2164)
狛江,2515
東大和,(2156)
清瀬,1338
東久留米武蔵村山,(1136)
多摩,2495
稲城,(2180)
羽村,1764
あきる野,(1533)
西東京,1019
瑞穂,(877)
日の出,1365
檜原,(1175)
奥多摩,4991
大島,(4180)
利島,482
新島,16
神津島,(14)
三宅,2
御蔵島,(2)
八丈,14
青ヶ島,(14)
小笠原,2
都外,(2)
調査中,18
