千代田,1838
中央,(1832)
港,5632
新宿,(5619)
文京,9920
台東,(9909)
墨田,17739
江東,(17714)
品川,5236
目黒,(5192)
大田,6509
世田谷,27631
渋谷,(27503)
中野,9813
杉並,(9793)
豊島,11968
北,(11935)
荒川,15458
板橋,(15444)
練馬,10600
足立,(10578)
葛飾,9305
江戸川,18141
八王子,(18094)
立川,9680
武蔵野,(9669)
三鷹,3232
青梅,(3228)
府中,3120
昭島,(3119)
調布,3701
町田,(3696)
小金井,1664
小平,2922
日野,(2918)
東村山,2801
国分寺,(2790)
国立,2113
福生,(2107)
狛江,2069
東大和,(2062)
清瀬,1103
東久留米,(1102)
武蔵村山,1139
多摩,2094
稲城,(2091)
羽村,1484
あきる野,(1481)
西東京,842
瑞穂,(840)
日の出,1132
檜原,(1132)
奥多摩,4059
大島,(4051)
利島,410
新島,14
神津島,(14)
三宅,2
御蔵島,(2)
八丈,13
青ヶ島,(13)
小笠原,2
都外,(2)
調査中,15
