千代田,1799
中央,(1735)
港,5532
新宿,(5413)
文京,9792
台東,(9563)
墨田,17450
江東,(17078)
品川,5148
目黒,(4938)
大田,6372
世田谷,27251
渋谷,(25750)
中野,9659
杉並,(9307)
豊島,11801
北,(11437)
荒川,15280
板橋,(14502)
練馬,10399
足立,(10004)
葛飾,9075
江戸川,17634
八王子,(16876)
立川,9451
武蔵野,(8972)
三鷹,3180
青梅,(3028)
府中,3061
昭島,(2898)
調布,3649
町田,(3423)
小金井,1618
小平,2872
日野,(2670)
東村山,2740
国分寺,(2637)
国立,2068
福生,(1912)
狛江,2033
東大和,(1931)
清瀬,1085
東久留米,(1035)
武蔵村山,1089
多摩,2051
稲城,(1993)
羽村,1455
あきる野,(1398)
西東京,793
瑞穂,(736)
日の出,1092
檜原,(1041)
奥多摩,3963
大島,(3740)
利島,396
新島,14
神津島,(14)
三宅,2
御蔵島,(2)
八丈,13
青ヶ島,(13)
小笠原,2
都外,(2)
調査中,15
