千代田,584
中央,(565)
港,1796
新宿,(1732)
文京,3676
台東,(3613)
墨田,6413
江東,(6277)
品川,1657
目黒,(1562)
大田,2036
世田谷,7997
渋谷,(7542)
中野,3235
杉並,(3056)
豊島,3609
北,(3501)
荒川,4315
板橋,(4074)
練馬,2839
足立,(2545)
葛飾,2354
江戸川,4247
八王子,(3934)
立川,2174
武蔵野,(2033)
三鷹,817
青梅,(771)
府中,857
昭島,(784)
調布,1064
町田,(968)
小金井,530
小平,649
日野,(610)
東村山,667
国分寺,(633)
国立,508
福生,(460)
狛江,492
東大和,(450)
清瀬,272
東久留米,(260)
武蔵村山,367
多摩,583
稲城,(546)
羽村,354
あきる野,(336)
西東京,242
瑞穂,(207)
日の出,369
檜原,(333)
奥多摩,1045
大島,(986)
利島,123
新島,0
神津島,(0)
三宅,1
御蔵島,(1)
八丈,4
青ヶ島,(4)
小笠原,1
都外,(1)
調査中,7
