千代田,1834
中央,(1819)
港,5615
新宿,(5593)
文京,9915
台東,(9868)
墨田,17721
江東,(17673)
品川,5228
目黒,(5146)
大田,6493
世田谷,27604
渋谷,(27440)
中野,9804
杉並,(9744)
豊島,11955
北,(11895)
荒川,15441
板橋,(15369)
練馬,10582
足立,(10535)
葛飾,9287
江戸川,18087
八王子,(17949)
立川,9671
武蔵野,(9625)
三鷹,3228
青梅,(3206)
府中,3119
昭島,(3106)
調布,3696
町田,(3670)
小金井,1664
小平,2918
日野,(2900)
東村山,2788
国分寺,(2778)
国立,2111
福生,(2087)
狛江,2063
東大和,(2045)
清瀬,1102
東久留米,(1099)
武蔵村山,1139
多摩,2091
稲城,(2083)
羽村,1481
あきる野,(1475)
西東京,829
瑞穂,(822)
日の出,1131
檜原,(1122)
奥多摩,4055
大島,(4012)
利島,409
新島,14
神津島,(14)
三宅,2
御蔵島,(2)
八丈,13
青ヶ島,(13)
小笠原,2
都外,(2)
調査中,15
