千代田,3053
中央,(2284)
港,9122
新宿,(7043)
文京,14058
台東,(12156)
墨田,26502
江東,(21279)
品川,8615
目黒,(5698)
大田,9786
世田谷,40887
渋谷,(34218)
中野,15088
杉並,(11709)
豊島,18250
北,(14383)
荒川,23311
板橋,(18309)
練馬,15625
足立,(12518)
葛飾,14155
江戸川,28268
八王子,(21239)
立川,15151
武蔵野,(11643)
三鷹,5068
青梅,(3801)
府中,4805
昭島,(3787)
調布,5644
町田,(4341)
小金井,2475
小平,4803
日野,(3599)
東村山,4461
国分寺,(3320)
国立,3338
福生,(2478)
狛江,3186
東大和,(2453)
清瀬,1757
東久留米武蔵村山,(1311)
多摩,3199
稲城,(2445)
羽村,2281
あきる野,(1734)
西東京,1283
瑞穂,(1016)
日の出,1820
檜原,(1360)
奥多摩,6309
大島,(4911)
利島,624
新島,16
神津島,(16)
三宅,2
御蔵島,(2)
八丈,16
青ヶ島,(14)
小笠原,2
都外,(2)
調査中,38
