千代田,281
中央,(236)
港,1072
新宿,(923)
文京,2178
台東,(1994)
墨田,4081
江東,(3835)
品川,853
目黒,(692)
大田,989
世田谷,3944
渋谷,(3485)
中野,1739
杉並,(1522)
豊島,1960
北,(1753)
荒川,2035
板橋,(1841)
練馬,1389
足立,(1273)
葛飾,1036
江戸川,1874
八王子,(1710)
立川,1011
武蔵野,(818)
三鷹,277
青梅,(218)
府中,383
昭島,(317)
調布,443
町田,(384)
小金井,186
小平,288
日野,(249)
東村山,303
国分寺,(260)
国立,196
福生,(152)
狛江,191
東大和,(158)
清瀬,92
東久留米,(74)
武蔵村山,111
多摩,200
稲城,(186)
羽村,153
あきる野,(134)
西東京,67
瑞穂,(53)
日の出,116
檜原,(80)
奥多摩,498
大島,(421)
利島,34
新島,0
神津島,(0)
三宅,0
御蔵島,(0)
八丈,3
青ヶ島,(3)
小笠原,1
都外,(1)
調査中,6
