千代田,666
中央,(634)
港,1989
新宿,(1908)
文京,4069
台東,(3973)
墨田,7048
江東,(6900)
品川,1897
目黒,(1784)
大田,2299
世田谷,8885
渋谷,(8586)
中野,3603
杉並,(3494)
豊島,4031
北,(3907)
荒川,4955
板橋,(4784)
練馬,3261
足立,(3163)
葛飾,2735
江戸川,5213
八王子,(5014)
立川,2869
武蔵野,(2697)
三鷹,985
青梅,(922)
府中,970
昭島,(942)
調布,1193
町田,(1158)
小金井,677
小平,823
日野,(776)
東村山,900
国分寺,(852)
国立,621
福生,(587)
狛江,574
東大和,(555)
清瀬,330
東久留米,(302)
武蔵村山,395
多摩,667
稲城,(638)
羽村,408
あきる野,(397)
西東京,284
瑞穂,(276)
日の出,406
檜原,(398)
奥多摩,1188
大島,(1139)
利島,140
新島,0
神津島,(0)
三宅,1
御蔵島,(1)
八丈,4
青ヶ島,(4)
小笠原,1
都外,(1)
調査中,7
