千代田,621
中央,(606)
港,1855
新宿,(1821)
文京,3860
台東,(3799)
墨田,6677
江東,(6582)
品川,1718
目黒,(1684)
大田,2115
世田谷,8375
渋谷,(8173)
中野,3384
杉並,(3325)
豊島,3769
北,(3720)
荒川,4566
板橋,(4440)
練馬,3007
足立,(2938)
葛飾,2514
江戸川,4747
八王子,(4533)
立川,2429
武蔵野,(2294)
三鷹,892
青梅,(844)
府中,911
昭島,(872)
調布,1127
町田,(1073)
小金井,628
小平,734
日野,(682)
東村山,807
国分寺,(690)
国立,562
福生,(526)
狛江,531
東大和,(504)
清瀬,287
東久留米,(272)
武蔵村山,380
多摩,615
稲城,(600)
羽村,372
あきる野,(362)
西東京,266
瑞穂,(252)
日の出,387
檜原,(378)
奥多摩,1098
大島,(1070)
利島,133
新島,0
神津島,(0)
三宅,1
御蔵島,(1)
八丈,4
青ヶ島,(4)
小笠原,1
都外,(1)
調査中,7
