千代田,261
中央,(231)
港,990
新宿,(878)
文京,2073
台東,(1927)
墨田,3906
江東,(3695)
品川,789
目黒,(673)
大田,952
世田谷,3681
渋谷,(3350)
中野,1607
杉並,(1473)
豊島,1859
北,(1674)
荒川,1906
板橋,(1745)
練馬,1317
足立,(1201)
葛飾,978
江戸川,1786
八王子,(1640)
立川,916
武蔵野,(779)
三鷹,247
青梅,(209)
府中,350
昭島,(301)
調布,413
町田,(351)
小金井,174
小平,280
日野,(244)
東村山,286
国分寺,(245)
国立,180
福生,(146)
狛江,179
東大和,(147)
清瀬,82
東久留米,(70)
武蔵村山,92
多摩,189
稲城,(183)
羽村,146
あきる野,(124)
西東京,54
瑞穂,(51)
日の出,90
檜原,(71)
奥多摩,466
大島,(396)
利島,31
新島,0
神津島,(0)
三宅,0
御蔵島,(0)
八丈,3
青ヶ島,(3)
小笠原,1
都外,(1)
調査中,6
