千代田,5994
中央,(5652)
港,18313
新宿,(17355)
文京,28644
台東,(27289)
墨田,41971
江東,(39860)
品川,18983
目黒,(10041)
大田,19131
世田谷,86020
渋谷,(80672)
中野,26719
杉並,(25324)
豊島,34127
北,(32264)
荒川,48899
板橋,(46027)
練馬,29124
足立,(25501)
葛飾,31584
江戸川,67551
八王子,(63644)
立川,39400
武蔵野,(36623)
三鷹,12517
青梅,(11621)
府中,11001
昭島,(10329)
調布,13981
町田,(13039)
小金井,6751
小平,12023
日野,(11138)
東村山,12751
国分寺,(11818)
国立,8692
福生,(8094)
狛江,8694
東大和,(7884)
清瀬,4581
東久留米,(4241)
武蔵村山,3971
多摩,8513
稲城,(8042)
羽村,6365
あきる野,(5863)
西東京,3338
瑞穂,(3143)
日の出,4458
檜原,(4121)
奥多摩,15029
大島,(13962)
利島,1891
新島,23
神津島,(21)
三宅,51
御蔵島,(42)
八丈,17
青ヶ島,(16)
小笠原,7
都外,(2)
調査中,119
