千代田,331
中央,(256)
港,1258
新宿,(1054)
文京,2547
台東,(2189)
墨田,4510
江東,(4164)
品川,1018
目黒,(803)
大田,1105
世田谷,4544
渋谷,(3762)
中野,2024
杉並,(1739)
豊島,2230
北,(1954)
荒川,2389
板橋,(2002)
練馬,1582
足立,(1392)
葛飾,1245
江戸川,2151
八王子,(1898)
立川,1187
武蔵野,(944)
三鷹,346
青梅,(258)
府中,463
昭島,(367)
調布,523
町田,(442)
小金井,207
小平,325
日野,(276)
東村山,354
国分寺,(299)
国立,216
福生,(180)
狛江,224
東大和,(176)
清瀬,116
東久留米,(89)
武蔵村山,135
多摩,236
稲城,(205)
羽村,173
あきる野,(157)
西東京,90
瑞穂,(60)
日の出,169
檜原,(105)
奥多摩,590
大島,(466)
利島,48
新島,0
神津島,(0)
三宅,0
御蔵島,(0)
八丈,3
青ヶ島,(3)
小笠原,1
都外,(1)
調査中,6
