千代田,6323
中央,(5868)
港,18953
新宿,(17975)
文京,29559
台東,(28001)
墨田,43363
江東,(40814)
品川,19749
目黒,(10256)
大田,19764
世田谷,89392
渋谷,(82741)
中野,27541
杉並,(26119)
豊島,35264
北,(33327)
荒川,50777
板橋,(47803)
練馬,30052
足立,(25796)
葛飾,33024
江戸川,69914
八王子,(65782)
立川,40850
武蔵野,(37983)
三鷹,12976
青梅,(11987)
府中,11446
昭島,(10663)
調布,14486
町田,(13550)
小金井,7035
小平,12559
日野,(11675)
東村山,13274
国分寺,(12423)
国立,9087
福生,(8432)
狛江,9075
東大和,(8273)
清瀬,4743
東久留米,(4393)
武蔵村山,4058
多摩,8796
稲城,(8343)
羽村,6663
あきる野,(6189)
西東京,3508
瑞穂,(3259)
日の出,4637
檜原,(4330)
奥多摩,15626
大島,(14594)
利島,1944
新島,29
神津島,(22)
三宅,51
御蔵島,(49)
八丈,17
青ヶ島,(16)
小笠原,12
都外,(2)
調査中,119
