千代田,1786
中央,(1701)
港,5515
新宿,(5374)
文京,9766
台東,(9534)
墨田,17366
江東,(16952)
品川,5128
目黒,(4905)
大田,6351
世田谷,27123
渋谷,(25558)
中野,9624
杉並,(9186)
豊島,11758
北,(11277)
荒川,15215
板橋,(14418)
練馬,10343
足立,(9931)
葛飾,9012
江戸川,17526
八王子,(16696)
立川,9393
武蔵野,(8911)
三鷹,3161
青梅,(2989)
府中,3049
昭島,(2875)
調布,3637
町田,(3369)
小金井,1601
小平,2845
日野,(2658)
東村山,2723
国分寺,(2601)
国立,2049
福生,(1894)
狛江,2022
東大和,(1911)
清瀬,1075
東久留米,(1021)
武蔵村山,1070
多摩,2039
稲城,(1964)
羽村,1442
あきる野,(1376)
西東京,779
瑞穂,(726)
日の出,1081
檜原,(1025)
奥多摩,3945
大島,(3719)
利島,390
新島,14
神津島,(14)
三宅,2
御蔵島,(2)
八丈,13
青ヶ島,(13)
小笠原,2
都外,(2)
調査中,15
