千代田,1852
中央,(1851)
港,5675
新宿,(5674)
文京,10017
台東,(10004)
墨田,18484
江東,(18479)
品川,5325
目黒,(5324)
大田,6558
世田谷,27852
渋谷,(27812)
中野,9895
杉並,(9887)
豊島,12069
北,(12065)
荒川,15577
板橋,(15573)
練馬,10715
足立,(10709)
葛飾,9457
江戸川,18260
八王子,(18252)
立川,9838
武蔵野,(9836)
三鷹,3250
青梅,(3249)
府中,3165
昭島,(3165)
調布,3732
町田,(3728)
小金井,1668
小平,2940
日野,(2940)
東村山,2836
国分寺,(2835)
国立,2119
福生,(2119)
狛江,2094
東大和,(2093)
清瀬,1106
東久留米,(1105)
武蔵村山,1141
多摩,2112
稲城,(2109)
羽村,1502
あきる野,(1501)
西東京,842
瑞穂,(841)
日の出,1138
檜原,(1138)
奥多摩,4086
大島,(4085)
利島,412
新島,14
神津島,(14)
三宅,2
御蔵島,(2)
八丈,13
青ヶ島,(13)
小笠原,2
都外,(2)
調査中,16
