千代田,7119
中央,(6937)
港,21222
新宿,(20703)
文京,32760
台東,(31880)
墨田,47221
江東,(42798)
品川,22281
目黒,(11206)
大田,21952
世田谷,99372
渋谷,(95698)
中野,30411
杉並,(29633)
豊島,38762
北,(37739)
荒川,56070
板橋,(54676)
練馬,33162
足立,(31628)
葛飾,37079
江戸川,76549
八王子,(74194)
立川,44650
武蔵野,(42874)
三鷹,14362
青梅,(13647)
府中,12699
昭島,(12275)
調布,15929
町田,(15411)
小金井,7859
小平,14375
日野,(13865)
東村山,14484
国分寺,(14214)
国立,10119
福生,(9795)
狛江,10273
東大和,(9835)
清瀬,5388
東久留米,(5154)
武蔵村山,4506
多摩,9716
稲城,(9514)
羽村,7444
あきる野,(7297)
西東京,3930
瑞穂,(3860)
日の出,5327
檜原,(5178)
奥多摩,17397
大島,(16806)
利島,2203
新島,34
神津島,(29)
三宅,87
御蔵島,(62)
八丈,18
青ヶ島,(18)
小笠原,13
都外,(13)
調査中,124
