千代田,1825
中央,(1801)
港,5591
新宿,(5548)
文京,9891
台東,(9807)
墨田,17664
江東,(17551)
品川,5206
目黒,(5078)
大田,6456
世田谷,27516
渋谷,(26637)
中野,9773
杉並,(9592)
豊島,11913
北,(11783)
荒川,15411
板橋,(15113)
練馬,10528
足立,(10420)
葛飾,9247
江戸川,17992
八王子,(17645)
立川,9636
武蔵野,(9490)
三鷹,3215
青梅,(3165)
府中,3108
昭島,(3077)
調布,3683
町田,(3643)
小金井,1657
小平,2905
日野,(2813)
東村山,2778
国分寺,(2750)
国立,2100
福生,(2025)
狛江,2058
東大和,(2019)
清瀬,1101
東久留米,(1087)
武蔵村山,1131
多摩,2079
稲城,(2068)
羽村,1473
あきる野,(1457)
西東京,819
瑞穂,(807)
日の出,1119
檜原,(1099)
奥多摩,4019
大島,(3893)
利島,409
新島,14
神津島,(14)
三宅,2
御蔵島,(2)
八丈,13
青ヶ島,(13)
小笠原,2
都外,(2)
調査中,15
